Grupo,Revista,Cantidad
GIIRA,2018 6th international conference on future internet of things and cloud workshops (ficloudw),1
GIIRA,2018 ieee global engineering education conference (educon),1
GIIRA,2018 ieee international conference on smart internet of things (smartiot),3
GIIRA,acta agriculturae scandinavica,2
GIIRA,"acta agriculturae scandinavica, section b—soil & plant science",2
GIIRA,advanced science letters,4
GIIRA,advances in information sciences and service sciences,2
GIIRA,advances in natural and applied sciences,3
GIIRA,aggression and violent behavior,2
GIIRA,applied sciences,1
GIIRA,"applied soft computing, (appl. soft. comput.)",3
GIIRA,aslib journal of information management,1
GIIRA,australian journal of basic and applied sciences,1
GIIRA,british journal of educational technology,2
GIIRA,communications in computer and information science,6
GIIRA,comput sci inf syst,1
GIIRA,computer standards &amp; interfaces,2
GIIRA,computer standards and interfaces,1
GIIRA,computing and informatics,1
GIIRA,contemporary engineering sciences,1
GIIRA,education and information technologies,1
GIIRA,educational psychology review,1
GIIRA,electronic library,1
GIIRA,elementos,1
GIIRA,environmental impact assessment review,2
GIIRA,espacios,2
GIIRA,expert systems with applications,1
GIIRA,future generation computer systems,4
GIIRA,gerencia tecnologica informatica,1
GIIRA,he electronic library,1
GIIRA,ieee america latina,6
GIIRA,ieee transactions on industrial informatics,1
GIIRA,ieee-rita latin american learning technologies journal,1
GIIRA,ifip advances in information and communication technology,1
GIIRA,indian streams research journal,1
GIIRA,información tecnológica,4
GIIRA,informatica,1
GIIRA,information fusion,1
GIIRA,information. an international interdisciplinary journal,2
GIIRA,inge cuc,1
GIIRA,ingenieria solidaria,4
GIIRA,ingenieria y universidad,1
GIIRA,ingeniería,1
GIIRA,ingeniería solidaria,1
GIIRA,ingeniería y competitividad,1
GIIRA,ingenio magno,1
GIIRA,inteligencia artificial,1
GIIRA,international journal of advancements in computing technology,1
GIIRA,international journal of applied engineering research,4
GIIRA,international journal of applied environmental sciences,2
GIIRA,international journal of artificial intelligence in education,1
GIIRA,international journal of communication networks and information security,1
GIIRA,international journal of digital content technology and its applications,1
GIIRA,international journal of engineering and technology,1
GIIRA,international journal of engineering education,1
GIIRA,international journal of high performance systems architecture,1
GIIRA,international journal of information processing and management,1
GIIRA,international journal of interactive multimedia & artificial intelligence,1
GIIRA,international journal of interactive multimedia and artificial intelligence,6
GIIRA,international journal of medical informatics,1
GIIRA,international journal of renewable energy research,1
GIIRA,"jhon francined herrera-cubides, paulo alonso gaona-garcía, carlos enrique montenegro-marín, esteban arias-caracas, daniel fernando mendoza-lópez",1
GIIRA,journal of ambient intelligence and humanized computing,8
GIIRA,journal of applied sciences research,2
GIIRA,journal of computational and applied mathematics,1
GIIRA,journal of convergence information technology,2
GIIRA,journal of educational technology & society,1
GIIRA,journal of engineering & applied sciences,3
GIIRA,journal of information science,1
GIIRA,journal of intelligent & fuzzy systems,1
GIIRA,journal of multiple-valued logic and soft computing,1
GIIRA,journal of next generation information technology,1
GIIRA,journal of theoretical and applied electronic commerce research,1
GIIRA,journal of universal computer science,1
GIIRA,knowledge organization,2
GIIRA,lecture notes in computer science,2
GIIRA,mdpi applied sciences,1
GIIRA,mdpi mathematics,1
GIIRA,mdpi sustainability,1
GIIRA,mobile networks &amp; applications,1
GIIRA,online information review,2
GIIRA,proceedings of the 2018 2nd international conference on cloud and big data computing,1
GIIRA,publicaciones e investigación,2
GIIRA,redes de ingenieria,6
GIIRA,renewable energy,1
GIIRA,revista avances:investigación en ingeniería,1
GIIRA,revista científica,2
GIIRA,revista escuela de administración de negocios,1
GIIRA,revista facultad de ingenieria,1
GIIRA,revista facultad de ingeniería,1
GIIRA,revista iberoamericana de inteligencia artificial,1
GIIRA,revista ibérica de sistemas e tecnologias de informacion,13
GIIRA,revista interamericana de bibliotecología,1
GIIRA,revista iteckne,1
GIIRA,revista logos ciencia & tecnología,5
GIIRA,scientia et technica,2
GIIRA,scientific proceedings of riga technical university,1
GIIRA,scientific programming,2
GIIRA,"smart innovation, systems and technologies",3
GIIRA,social sciences,2
GIIRA,soft computing,8
GIIRA,symmetry,1
GIIRA,tecciencia,2
GIIRA,tecnología investigación y academia,1
GIIRA,tecnura,4
GIIRA,uis ingenierías,2
GIIRA,universal access in the information society,1
GIIRA,ventana informática,3
GIIRA,visión electrónica,1
GIIRA,visión electrónica algo más que un estado sólido,1
GIIRA,vínculos,1
MULTIMEDIA,"acta agriculturae scandinavica, section b—soil & plant science",2
MULTIMEDIA,advanced science letters,4
MULTIMEDIA,advances in information sciences and service sciences,1
MULTIMEDIA,annals of operations research,1
MULTIMEDIA,applied sciences,1
MULTIMEDIA,applied soft computing,1
MULTIMEDIA,communications in computer and information science,2
MULTIMEDIA,dyna,1
MULTIMEDIA,editorial universidad tecnológica de pereira,1
MULTIMEDIA,education and information technologies,1
MULTIMEDIA,electronic library,1
MULTIMEDIA,ieee america latina,3
MULTIMEDIA,ieee latin america transactions,1
MULTIMEDIA,ieee-rita latin american learning technologies journa,1
MULTIMEDIA,infancias imágenes,1
MULTIMEDIA,información tecnológica,2
MULTIMEDIA,informatica,1
MULTIMEDIA,information,1
MULTIMEDIA,ingenieria solidaria,3
MULTIMEDIA,ingenieria y universidad,1
MULTIMEDIA,ingeniería,2
MULTIMEDIA,ingeniería e investigación,1
MULTIMEDIA,ingeniería solidaria,1
MULTIMEDIA,ingeniería y competitividad,1
MULTIMEDIA,ingenio magno,1
