Grupo,,Grupo,Texto T,count
GIIRA,242,GIIRA,modelo,14
GIIRA,17,GIIRA,análisis,11
GIIRA,37,GIIRA,basado,9
GIIRA,90,GIIRA,datos,9
GIIRA,386,GIIRA,uso,8
GIIRA,46,GIIRA,bogotá,6
GIIRA,6,GIIRA,agua,6
GIIRA,387,GIIRA,utilizando,5
GIIRA,49,GIIRA,calidad,5
GIIRA,63,GIIRA,colombia,5
MULTIMEDIA,546,MULTIMEDIA,modelo,11
MULTIMEDIA,420,MULTIMEDIA,análisis,7
MULTIMEDIA,434,MULTIMEDIA,basado,7
MULTIMEDIA,542,MULTIMEDIA,mediante,6
MULTIMEDIA,438,MULTIMEDIA,bogotá,6
MULTIMEDIA,618,MULTIMEDIA,uso,6
MULTIMEDIA,424,MULTIMEDIA,aprendizaje,5
MULTIMEDIA,468,MULTIMEDIA,datos,5
MULTIMEDIA,631,MULTIMEDIA,web,5
MULTIMEDIA,414,MULTIMEDIA,agua,5
