Grupo,,Grupo,Texto T,count
GIIRA,54,GIIRA,based,41
GIIRA,401,GIIRA,model,29
GIIRA,665,GIIRA,using,29
GIIRA,25,GIIRA,analysis,22
GIIRA,133,GIIRA,data,20
GIIRA,351,GIIRA,learning,18
GIIRA,621,GIIRA,system,17
GIIRA,612,GIIRA,study,13
GIIRA,237,GIIRA,fuzzy,13
GIIRA,77,GIIRA,case,11
MULTIMEDIA,729,MULTIMEDIA,based,18
MULTIMEDIA,884,MULTIMEDIA,model,15
MULTIMEDIA,765,MULTIMEDIA,data,10
MULTIMEDIA,859,MULTIMEDIA,learning,9
MULTIMEDIA,982,MULTIMEDIA,study,8
MULTIMEDIA,952,MULTIMEDIA,resources,8
MULTIMEDIA,1006,MULTIMEDIA,using,8
MULTIMEDIA,740,MULTIMEDIA,case,7
MULTIMEDIA,814,MULTIMEDIA,fuzzy,7
MULTIMEDIA,868,MULTIMEDIA,logic,7
